fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b76f67f,3C6717,DLH727,31.05304,121.2205,282,13300,398,2368,1035,2025-07-28T15:59:55Z,ADSB
3b76be46,7810E6,CQH7728,31.38664,120.9949,109,10200,280,0,2175,2025-07-28T15:59:52Z,ADSB
3b7663f8,7818AD,CES6760,31.29616,121.2945,109,10200,277,0,5014,2025-07-28T15:59:55Z,ADSB
3b7663d5,8964B6,UAE319,31.30275,121.26801,290,34100,497,-64,5065,2025-07-28T15:59:58Z,ADSB
3b768c32,780301,CSH9318,31.31561,121.2505,71,2175,164,128,6332,2025-07-28T15:59:58Z,ADSB
3b752102,3C70C8,GEC8404,31.24265,121.47136,109,8775,233,-1024,7664,2025-07-28T15:59:54Z,ADSB
3b769d28,71C338,AIH511,31.20615,121.63557,262,36100,468,0,5004,2025-07-28T15:59:45Z,ADSB
3b768b8c,780C61,CSH9426,31.24032,121.58086,73,5525,214,-832,5364,2025-07-28T15:59:59Z,ADSB
3b7668ad,A03423,FDX6073,31.26388,121.81723,257,40150,472,64,5672,2025-07-28T15:59:50Z,ADSB
3b7600e1,780860,CQH7166,31.32179,121.72012,161,3400,177,0,7047,2025-07-28T15:59:48Z,ADSB
3b762ede,781D05,CQH6452,31.41215,121.65776,113,4275,176,-384,6205,2025-07-28T15:59:55Z,ADSB
3b75d616,750523,XAX330,31.39096,121.86046,340,2825,234,-832,0,2025-07-28T15:59:15Z,ADSB
3b76634f,8466C7,NCA227,31.44762,121.8308,275,5300,251,64,6351,2025-07-28T15:59:56Z,ADSB
3b76d6b3,781106,CES5580,30.84187,121.25244,356,6350,284,-256,2713,2025-07-28T16:14:58Z,ADSB
3b767510,782217,CES5592,31.14043,121.28847,345,4925,287,-896,4264,2025-07-28T16:14:55Z,ADSB
3b767f7e,3C4584,BOX590,31.1375,121.19482,253,40100,488,0,5002,2025-07-28T16:14:55Z,ADSB
3b768601,780A8F,CRK234,30.97889,121.90562,30,7400,260,-448,3320,2025-07-28T16:14:47Z,ADSB
3b76be46,7810E6,CQH7728,31.26727,121.74079,162,2575,138,-576,2175,2025-07-28T16:14:25Z,ADSB
3b767e90,86E7A2,JAL59,31.23157,121.80745,268,34075,513,192,0,2025-07-28T16:14:57Z,ADSB
3b770187,3C670D,DLH733,31.40633,121.11378,3,17600,405,1088,6313,2025-07-28T16:14:57Z,ADSB
3b76bdae,780F8F,CSH9344,31.35713,121.09217,109,10175,274,64,4572,2025-07-28T16:14:56Z,ADSB
3b76a3f5,780DF5,DKH1022,31.32491,121.7188,160,3425,180,-64,4061,2025-07-28T16:14:56Z,ADSB
3b76c1fb,8963F7,UAE323,31.33347,121.34152,287,36100,504,0,5061,2025-07-28T16:14:55Z,ADSB
3b7519a3,407CF7,DHK052,31.34344,121.59745,4,5550,245,-640,1473,2025-07-28T16:14:26Z,ADSB
3b761e5a,780F90,CSH846,31.29099,121.7667,162,2375,172,-128,5743,2025-07-28T16:14:47Z,ADSB
3b771183,8963D3,UAE303,31.59663,121.03796,335,20425,450,0,6363,2025-07-28T16:29:58Z,ADSB
3b77183b,7812C3,CQH8929,31.11548,121.25513,254,4400,258,1536,0,2025-07-28T16:29:58Z,ADSB
3b76b8ec,781801,CXA8318,30.83401,121.26369,355,8525,298,-704,4215,2025-07-28T16:29:59Z,ADSB
3b75d82e,6832A3,VSV461,31.36196,121.07653,109,10200,264,0,3430,2025-07-28T16:29:55Z,ADSB
3b768f65,7812FF,CSH847,31.00502,121.76831,224,5275,282,1984,0,2025-07-28T16:29:42Z,ADSB
3b76d89f,781AE9,LHA4028,31.07702,121.45276,171,15975,372,-1024,7476,2025-07-28T16:29:56Z,ADSB
3b76f3f7,781E8E,CTJ3867,31.04462,121.9272,98,31100,454,-64,2762,2025-07-28T16:29:42Z,ADSB
3b7625d2,781453,CSH856,30.98508,121.91001,30,7300,277,0,6145,2025-07-28T16:29:46Z,ADSB
3b76b3c1,7803E7,CES5318,31.26508,121.33269,177,1375,142,-768,4531,2025-07-28T16:29:55Z,ADSB
3b76c2a6,7808E3,DKH1026,31.38885,121.71823,136,4300,180,64,3021,2025-07-28T16:29:59Z,ADSB
3b765bd2,780B30,CES9703,31.33762,121.70577,127,2375,168,-128,3112,2025-07-28T16:29:58Z,ADSB
3b76b63e,A9F2C6,CKS978,31.42287,121.90662,283,6175,256,-448,5027,2025-07-28T16:29:56Z,ADSB
3b77205d,04014E,ETH685,31.10664,121.13654,331,14575,397,896,5055,2025-07-28T16:44:53Z,ADSB
3b76990b,781A9B,CQH8932,31.08945,121.23402,356,7300,232,-64,3105,2025-07-28T16:44:55Z,ADSB
3b76e96d,78104A,EPA6275,31.34628,121.30318,339,14775,324,64,0736,2025-07-28T16:44:52Z,ADSB
3b761ac9,781BFF,DKH2236,31.35577,121.09735,109,10175,281,0,2344,2025-07-28T16:44:53Z,ADSB
3b76abed,7821F1,CES2056,31.37863,121.23721,61,2925,213,-704,3365,2025-07-28T16:44:53Z,ADSB
3b76c281,A4EB80,GTI8156,31.38426,121.17722,289,40100,482,64,5033,2025-07-28T16:44:54Z,ADSB
3b772224,781100,CES553,31.01738,121.41562,281,11400,368,1024,0,2025-07-28T16:44:56Z,ADSB
3b764aad,781373,CSH9224,31.24631,121.45908,109,7975,238,-1152,2325,2025-07-28T16:44:53Z,ADSB
