fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b524e81,78130A,CSN6857,22.49698,113.88128,10,2875,188,-128,7421,2025-07-19T07:59:59Z,ADSB
3b52eedf,7809D3,B7199,22.53881,114.02825,67,1625,92,448,0,2025-07-19T07:59:59Z,MLAT
3b515a19,39B225,CMA582,22.39102,114.09876,250,4000,226,-1728,0666,2025-07-19T07:59:59Z,ADSB
3b52c2a4,78119B,CES5243,22.72429,114.20145,254,7125,231,-1216,3365,2025-07-19T08:00:00Z,ADSB
3b52bc34,78144A,RLH5003,22.55905,113.85461,332,1950,161,-768,5040,2025-07-19T08:14:58Z,ADSB
3b52c06f,780E0D,CSZ8664,22.58636,113.99897,201,4500,224,64,6303,2025-07-19T08:14:59Z,ADSB
3b52c010,8991A7,CAL915,22.36601,114.02001,251,2575,194,-1024,6244,2025-07-19T08:14:58Z,ADSB
3b52bccd,780320,CCA419,22.40117,114.13007,251,4500,199,-448,1544,2025-07-19T08:14:58Z,ADSB
3b52a7b5,780A71,HKE663,22.4203,114.22033,278,5325,211,-1024,7174,2025-07-19T08:14:58Z,ADSB
3b52cb23,7815A9,DKH1885,22.52616,113.87258,334,2650,60,-1408,1070,2025-07-19T08:29:56Z,ADSB
3b52bc6d,780A49,CPA987,22.34186,113.94501,250,1200,161,-960,1530,2025-07-19T08:29:57Z,ADSB
3b52998d,78018F,CPA770,22.37137,114.03659,250,2925,184,-960,6165,2025-07-19T08:29:59Z,ADSB
3b529276,789286,HKE851,22.41262,114.16346,249,4825,216,-576,6067,2025-07-19T08:29:58Z,ADSB
3b52d2d4,781917,CSN3798,22.61247,114.00278,197,4525,206,-384,3656,2025-07-19T08:29:59Z,ADSB
3b52cafe,781FFF,CSN3460,22.51401,113.86063,338,2825,178,-768,6401,2025-07-19T08:44:55Z,ADSB
3b52d38e,7805CC,CSN3256,22.51552,113.93956,242,3900,201,-128,6320,2025-07-19T08:44:58Z,ADSB
3b52fbb7,782161,CSN5887,22.70688,114.04459,249,30075,458,256,3457,2025-07-19T08:44:58Z,ADSB
3b52ab8c,78050E,CSZ634,22.48766,113.8793,53,3200,182,-384,5037,2025-07-19T08:59:58Z,ADSB
3b52c7de,78155E,CSZ9918,22.60563,114.13248,243,6200,251,-832,0115,2025-07-19T08:59:59Z,ADSB
3b52b2d7,781795,CSN354,22.36725,113.8669,12,14800,305,0,0161,2025-07-19T09:14:59Z,ADSB
3b52b7f4,781736,CSN5370,22.5236,113.8561,335,2650,178,-1024,7064,2025-07-19T09:14:54Z,ADSB
3b52c9f0,7809F8,CSN8736,22.53154,113.97162,239,3625,210,-192,3773,2025-07-19T09:14:59Z,ADSB
3b531135,78067B,CDG2295,22.56666,113.89008,16,13800,330,0,2427,2025-07-19T09:14:59Z,ADSB
3b52e90a,780E69,CSZ9516,22.70893,114.0918,271,6575,230,-640,6333,2025-07-19T09:30:00Z,ADSB
3b52fd22,78028C,CCA9674,22.56708,113.9773,183,5000,214,-768,1075,2025-07-19T09:59:58Z,ADSB
3b52fa42,780C78,CSN3552,22.48581,113.90929,280,3400,179,-768,6334,2025-07-19T09:59:58Z,ADSB
3b52ac81,78183F,CSZ656,22.46251,113.85941,64,3525,174,-832,5070,2025-07-19T10:14:58Z,ADSB
3b5314cc,780DCE,CHH7770,22.52495,113.87329,333,2650,165,-896,3371,2025-07-19T10:14:58Z,ADSB
