fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b57f159,75049D,AXM114,22.36886,113.86805,7,14800,378,64,2144,2025-07-20T19:59:59Z,ADSB
3b57fc62,7814B6,CSN6058,22.59988,113.9048,8,13800,397,64,0751,2025-07-20T20:14:58Z,ADSB
3b58a176,75052A,AXM129,22.55942,113.85361,153,4025,188,832,2433,2025-07-20T20:44:56Z,ADSB
3b56c0af,781666,CSN306,22.59352,113.90381,8,13775,427,-64,0272,2025-07-20T20:44:58Z,ADSB
3b582593,76CD02,SIA826,22.4583,113.97831,356,41125,488,0,2221,2025-07-20T20:59:59Z,ADSB
3b58bcd1,782177,JDL2861,22.51816,113.94323,62,7500,294,2304,4223,2025-07-20T21:44:59Z,ADSB
3b58b248,7814D0,CSS6836,22.701,113.98952,203,6975,220,-2176,3640,2025-07-20T21:44:59Z,MLAT
3b58e60b,780DBD,CHH7761,22.71912,113.9564,358,10975,365,1024,2433,2025-07-20T22:29:58Z,ADSB
3b58e85c,781793,CSN5853,22.55186,113.85771,152,5075,216,2048,4222,2025-07-20T22:29:58Z,ADSB
3b58ea48,78150E,CHH7763,22.56736,113.97049,357,8575,318,2880,3154,2025-07-20T22:29:59Z,ADSB
3b58eff8,780714,CQH8613,22.54609,113.86037,153,4175,222,1792,3136,2025-07-20T22:44:59Z,ADSB
3b58ec0a,78155C,CSZ9637,22.63062,113.91525,331,10500,327,960,3142,2025-07-20T22:44:59Z,ADSB
3b58f5ad,7821A0,CSS335,22.53771,113.86546,152,4375,225,1536,3141,2025-07-20T22:59:59Z,ADSB
3b58fbf0,78097E,YZR7565,22.66301,114.00143,348,11250,379,1024,2426,2025-07-20T22:59:59Z,ADSB
3b58f6ef,7809F5,HBH8066,22.52783,113.96652,59,9375,281,576,3144,2025-07-20T23:00:00Z,ADSB
3b590243,781F38,CSZ9881,22.51085,113.92802,64,7000,280,2752,3156,2025-07-20T23:14:59Z,ADSB
3b590474,781130,EPA6211,22.73318,113.92338,325,14100,400,2624,4217,2025-07-20T23:14:58Z,ADSB
3b58fecf,781C9F,CSZ9217,22.58426,114.02069,9,10525,334,768,4225,2025-07-20T23:14:59Z,ADSB
3b590ae4,781F37,CSZ8925,22.55104,113.85811,152,4575,213,1024,2427,2025-07-20T23:29:59Z,ADSB
3b590aac,7808A0,CHH7702,22.54786,113.98499,32,8150,282,2176,3135,2025-07-20T23:29:58Z,ADSB
3b590940,781FF0,CQH8671,22.6945,114.01052,344,12975,392,1984,4224,2025-07-20T23:29:59Z,ADSB
3b58fc2e,AACAD4,CKS225,22.65213,114.07664,334,18550,454,1344,3550,2025-07-20T23:29:59Z,ADSB
3b590e94,781922,OTC7227,22.53827,113.86526,153,5300,230,512,2426,2025-07-20T23:44:58Z,ADSB
3b590e1f,780965,CSS152,22.3884,114.23998,327,19475,403,1984,5732,2025-07-20T23:44:58Z,ADSB
3b59134b,7805A7,CHH7769,22.58853,114.09382,63,10750,327,1088,3151,2025-07-20T23:44:59Z,ADSB
3b591490,7808DF,YZR7527,22.52962,113.96912,61,8750,300,2560,3140,2025-07-20T23:44:59Z,ADSB
3b591b27,780D8E,EPA6243,22.55028,113.85864,153,4675,228,2816,3447,2025-07-20T23:59:58Z,ADSB
3b591577,780E0D,CSZ9915,22.51859,113.94345,62,7975,269,1472,3161,2025-07-20T23:59:58Z,ADSB
3b591370,78022E,CPA334,22.53291,114.15119,314,18600,442,1856,3322,2025-07-20T23:59:58Z,ADSB
3b591c4b,780DCE,CHH7721,22.60884,114.01678,347,10875,310,1792,2432,2025-07-20T23:59:58Z,ADSB
3b5921b5,78929D,CRK112,22.39549,114.0667,58,6100,244,1408,3357,2025-07-21T00:14:59Z,ADSB
3b59244a,7802EE,CSN3569,22.57029,114.01968,21,9325,316,2048,4227,2025-07-21T00:14:59Z,ADSB
3b5923e4,7820A8,CSN3911,22.50731,113.91485,80,6475,268,1088,0622,2025-07-21T00:14:59Z,ADSB
3b592b2b,782123,CHC16A,22.55935,113.9855,89,2475,94,-128,0,2025-07-21T00:14:59Z,ADSB
3b5920b9,781F3A,CSZ9501,22.6937,114.03305,4,11575,365,2240,4220,2025-07-21T00:15:00Z,ADSB
3b59289f,781F82,CHC13A,22.61806,114.13366,47,2425,129,64,0,2025-07-21T00:15:00Z,ADSB
3b5930d2,781F25,CSN3613,22.72275,114.01517,321,11800,326,64,3154,2025-07-21T00:29:59Z,ADSB
3b592be6,789295,HKE132D,22.34698,113.99007,55,4775,205,1984,3350,2025-07-21T00:29:59Z,ADSB
3b5933cd,780B0C,CHC53A,22.56382,114.03839,81,2475,117,0,0,2025-07-21T00:29:59Z,ADSB
3b59392c,780B8E,CSZ8965,22.51825,113.87731,142,5475,233,2624,3157,2025-07-21T00:44:59Z,ADSB
3b5938ff,781049,EPA6217,22.55251,114.00208,56,9125,304,3072,2432,2025-07-21T00:44:59Z,ADSB
3b593d14,782124,CHC95H,22.55586,113.95533,87,1375,105,704,0,2025-07-21T00:44:49Z,ADSB
3b59318e,781DBA,CSN5010,22.37224,114.02905,55,5450,214,1408,3313,2025-07-21T00:44:59Z,ADSB
3b593a2a,780DBC,CHH7393,22.6859,114.03169,1,11125,330,1600,3140,2025-07-21T00:44:59Z,ADSB
3b5931b9,789203,CPA526,22.35439,114.20683,112,8725,311,2176,3564,2025-07-21T00:44:59Z,ADSB
3b5940aa,780D51,CSN8735,22.5803,113.93753,2,7325,233,1088,3147,2025-07-21T00:59:58Z,ADSB
3b592ffe,78209E,CHC19A,22.55772,114.01316,72,1950,102,768,5772,2025-07-21T00:59:58Z,ADSB
3b593ccf,789280,HKE686,22.34729,113.99155,56,3850,190,1152,3563,2025-07-21T00:59:58Z,ADSB
3b593126,4408FF,BCS517,22.61159,114.09775,334,18600,445,1920,5134,2025-07-21T00:59:58Z,ADSB
3b593972,780A49,CPA936,22.39018,114.12029,113,7025,248,1088,5745,2025-07-21T00:59:58Z,ADSB
3b59423d,781E80,CHC15A,22.63449,114.13541,56,2500,128,192,5215,2025-07-21T00:59:58Z,ADSB
3b593ff9,7821A2,CHC25A,22.68556,114.24769,75,2475,117,-64,1141,2025-07-21T00:59:58Z,ADSB
3b5947c8,781601,AMU822,22.37077,113.85786,94,11425,292,2368,3513,2025-07-21T01:14:58Z,ADSB
3b593e1e,899107,CAL6844,22.34396,113.98534,56,3550,218,2688,5746,2025-07-21T01:14:59Z,ADSB
3b58ccc7,7816FE,CSN8490,22.6391,113.97425,355,13825,403,-832,2277,2025-07-21T01:14:59Z,ADSB
3b594c33,780362,JSU217,22.56298,113.99521,62,9650,288,2944,1172,2025-07-21T01:14:59Z,ADSB
3b5948bd,7821A3,CHC23A,22.66256,114.16489,70,2450,88,128,5773,2025-07-21T01:14:58Z,ADSB
3b594259,781283,CSZ9237,22.72089,113.90859,322,11800,376,2752,4222,2025-07-21T01:14:58Z,ADSB
3b594b67,7810AA,YZR7531,22.62574,114.02756,11,10600,334,1088,2431,2025-07-21T01:29:59Z,ADSB
3b595184,781363,CSN5795,22.56303,113.90535,94,4800,253,2176,4221,2025-07-21T01:29:59Z,ADSB
3b595ad8,780BD8,CSN5181,22.55847,113.85645,134,4350,178,1344,4230,2025-07-21T01:44:58Z,ADSB
3b595047,789206,HKE848,22.35899,114.00793,56,3950,201,1344,3551,2025-07-21T01:44:58Z,ADSB
3b595009,780F78,CSN3087,22.57206,114.02197,73,7875,288,2752,3137,2025-07-21T01:44:58Z,ADSB
3b59203f,780DC5,CQH8875,22.37585,114.0277,269,17225,370,-1728,0144,2025-07-21T01:44:58Z,ADSB
3b5950a6,780AB2,HKE674,22.39256,114.11185,114,8550,235,1472,3547,2025-07-21T01:44:58Z,ADSB
3b5958d7,781128,CSN6532,22.50428,113.91505,83,7900,262,1600,0620,2025-07-21T01:59:59Z,ADSB
3b5957d2,78926B,CPA368,22.36464,114.01821,55,4250,234,2368,3333,2025-07-21T01:59:59Z,ADSB
3b5959ce,780995,CSN6237,22.65339,114.01876,344,11675,326,640,3151,2025-07-21T01:59:59Z,ADSB
3b596390,781241,CHB6541,22.55731,113.8888,91,6875,182,2560,3152,2025-07-21T02:14:58Z,ADSB
3b59351e,780C64,CQH8631,22.65573,113.89112,247,12800,306,64,6341,2025-07-21T02:14:58Z,ADSB
3b592542,70E06D,KME941,22.38553,113.97253,10,33100,460,0,1621,2025-07-21T02:14:58Z,ADSB
3b594a99,,,22.68863,114.01031,232,34125,346,64,0,2025-07-21T02:14:58Z,ADSB
3b596140,78922C,HKE642,22.36455,114.01706,55,4675,213,2048,3542,2025-07-21T02:14:58Z,ADSB
3b595dab,780A0B,CPA342,22.37238,114.16193,113,8275,259,1088,3324,2025-07-21T02:14:58Z,ADSB
3b596ee7,7809F8,CSN8581,22.5228,113.88433,116,5525,241,3264,2432,2025-07-21T02:30:00Z,ADSB
3b5967e1,780A63,CPA582,22.34436,113.98515,54,2550,230,1664,3502,2025-07-21T02:30:00Z,ADSB
3b596bcd,7815A3,EPA6221,22.61888,113.949,350,9625,321,1920,0616,2025-07-21T02:29:59Z,ADSB
3b5933cd,780B0C,CHC53B,22.64392,114.08558,254,1950,148,0,0,2025-07-21T02:29:59Z,ADSB
3b59698e,3C458B,BOX521,22.39462,114.10845,111,5375,256,1984,5330,2025-07-21T02:29:59Z,ADSB
3b593d13,7821FC,CES5565,22.71945,114.12572,263,12800,310,0,5035,2025-07-21T02:30:00Z,ADSB
3b59726e,780841,CHH7745,22.56262,113.85226,153,4350,195,768,3161,2025-07-21T02:44:58Z,ADSB
3b593695,7819C5,CHC11B,22.56056,113.91943,108,725,43,-384,5211,2025-07-21T02:44:50Z,ADSB
3b596ebb,780A44,CRK640,22.38744,114.12533,113,6925,253,2752,3570,2025-07-21T02:44:58Z,ADSB
3b596775,782124,CHC95B,22.62285,114.0246,247,1925,117,64,5216,2025-07-21T02:44:58Z,ADSB
3b5977eb,7818F3,CSN6921,22.56047,113.9499,359,9500,300,2624,4223,2025-07-21T02:44:58Z,ADSB
3b59289f,781F82,CHC13C,22.57867,114.10604,56,2425,118,0,5214,2025-07-21T02:44:58Z,ADSB
3b5969ba,06A30B,QTR8423,22.7298,114.1432,313,17675,426,832,5126,2025-07-21T02:44:58Z,ADSB
3b593ff9,7821A2,CHC25B,22.57625,113.91943,231,1050,84,64,1141,2025-07-21T02:59:58Z,ADSB
3b597ef4,7807AF,CSZ9943,22.50563,113.91,85,6025,254,2432,2430,2025-07-21T02:59:58Z,ADSB
3b5978d4,780BD1,CSN3876,22.58412,114.08442,63,10725,332,960,3156,2025-07-21T02:59:58Z,ADSB
3b5977cf,7801B5,CPA520,22.3575,114.19939,113,7950,275,2048,3555,2025-07-21T02:59:59Z,ADSB
3b597bbc,780B23,CSZ9103,22.73886,113.89352,343,12375,362,1408,4227,2025-07-21T03:14:59Z,ADSB
3b598061,780315,EPA6237,22.50624,113.9065,93,7400,259,2176,3137,2025-07-21T03:14:59Z,ADSB
3b59423d,781E80,CHC15B,22.56042,113.91993,105,650,29,-320,5215,2025-07-21T03:14:35Z,ADSB
3b5986b1,7811A8,CSZ633,22.57611,113.99933,358,10675,299,1152,3150,2025-07-21T03:14:59Z,ADSB
3b598043,78927F,HKE668,22.38977,114.05816,57,5125,277,1280,3553,2025-07-21T03:14:59Z,ADSB
3b598780,78923D,BHNT,22.4313,114.11053,90,0,0,0,0,2025-07-21T03:14:46Z,ADSB
3b5987bd,780BEB,CSZ9463,22.51527,113.88082,134,5950,239,2112,3135,2025-07-21T03:29:58Z,ADSB
3b5948bd,7821A3,CHC23B,22.57448,113.91718,225,1100,79,-256,5773,2025-07-21T03:29:40Z,ADSB
3b594ae5,781797,CSN368,22.60223,114.03803,7,13800,318,-896,5640,2025-07-21T03:29:59Z,ADSB
3b598892,780676,CSN3255,22.5844,114.02354,34,10200,308,2048,2432,2025-07-21T03:29:58Z,ADSB
3b598441,899088,EVA892,22.35015,113.99475,55,2750,222,2112,5715,2025-07-21T03:29:58Z,ADSB
3b598780,78923D,BHNT,22.45484,114.13371,57,1650,91,512,0,2025-07-21T03:29:54Z,ADSB
3b598907,780A0A,CPA424,22.36537,114.01978,54,3900,233,2816,5733,2025-07-21T03:44:59Z,ADSB
