fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b50660a,780EF5,GCR7460,22.62305,113.95229,41,14800,360,-64,0626,2025-07-18T15:59:59Z,ADSB
3b504dba,780F6C,CES9700,22.72105,114.14126,263,33850,468,1216,2436,2025-07-18T15:59:59Z,ADSB
3b4f3e89,151D87,AFL856,22.37682,113.8657,177,34075,478,0,1243,2025-07-18T16:14:59Z,ADSB
3b4fb01f,7808AD,CSZ632,22.49757,113.86895,346,2950,159,-1152,7402,2025-07-18T16:15:00Z,ADSB
3b507865,780F0B,CXA8842,22.5195,113.85427,41,13800,364,0,2433,2025-07-18T16:14:59Z,ADSB
3b5013b4,899134,EVA681,22.55544,113.85661,332,1900,142,-704,6271,2025-07-18T16:14:59Z,ADSB
3b4fad5c,781F25,CSN3634,22.54343,113.86317,334,2175,138,-704,1227,2025-07-18T16:29:56Z,ADSB
3b4fc9cd,A046B6,FDX6053,22.38464,113.87161,2,14575,377,-832,2160,2025-07-18T16:29:59Z,ADSB
3b508526,78057C,CXA8344,22.56656,113.89886,41,13800,376,0,3134,2025-07-18T16:29:59Z,ADSB
3b4fd569,71BA11,ABL381,22.35576,114.23969,265,18275,392,-1152,7106,2025-07-18T16:29:58Z,ADSB
3b5007da,781307,AMU021,22.35075,114.1684,265,19250,416,-1088,3771,2025-07-18T16:44:59Z,ADSB
3b4fd123,7812EB,CHH450,22.52362,113.8652,179,36100,462,64,6325,2025-07-18T16:44:59Z,ADSB
3b503c69,780738,CHH7396,22.50288,113.91344,242,3200,201,-512,3656,2025-07-18T16:44:59Z,ADSB
3b50388a,7807AC,CSZ9818,22.62574,114.07095,224,5150,258,-576,5016,2025-07-18T16:44:59Z,ADSB
3b4fa23e,A38DD8,UPS118,22.56541,113.85111,332,1725,161,-768,6313,2025-07-18T16:59:56Z,ADSB
3b50574c,780FA4,CBJ5136,22.63174,113.9438,228,34125,476,-64,3633,2025-07-18T16:59:58Z,ADSB
3b503576,780817,CHH7875,22.55144,113.8588,333,2000,152,-704,4034,2025-07-18T17:14:56Z,ADSB
3b4fd011,750266,MAS6176,22.60799,113.90605,8,14800,354,0,2134,2025-07-18T17:15:00Z,ADSB
3b5055e0,782159,DKH2205,22.49502,113.94155,256,2875,203,-896,6311,2025-07-18T17:15:00Z,ADSB
3b507128,4851AD,KLM808,22.5363,114.15639,310,33075,512,-64,2611,2025-07-18T17:15:00Z,ADSB
3b505bf1,780CFD,CSZ9520,22.49254,113.88068,15,2750,171,-64,5070,2025-07-18T17:30:00Z,ADSB
3b506794,78114A,CSN3558,22.61293,114.00687,182,4425,213,-640,0610,2025-07-18T17:30:00Z,ADSB
3b509810,780F5A,FZA6531,22.7012,114.03757,245,30100,464,-64,2710,2025-07-18T17:30:00Z,ADSB
3b50089c,A05434,FDX6067,22.69966,113.92059,8,14800,401,-512,5642,2025-07-18T17:30:00Z,ADSB
3b5082e5,780E56,CDC8684,22.50412,113.88293,345,2775,186,0,0326,2025-07-18T17:44:58Z,ADSB
