fr24_id,flight,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta
3b727d4b,AQ1584,JYH1584,30.16331,116.33889,93,32975,458,0,0,2025-07-27T16:00:00Z,ESTIMATED,782042,B38M,B-224U,JYH,JYH,TLQ,ZWTP,NGB,ZSNB,2025-07-27T16:44:48Z
3b7338dc,MS952,MSR952,30.32486,115.06716,237,32000,528,0,5672,2025-07-27T16:59:54Z,ADSB,0101DE,B789,SU-GEU,MSR,MSR,PVG,ZSPD,CAI,HECA,2025-07-28T02:25:04Z
3b732469,O37001,CSS7001,30.60435,115.45453,234,17875,402,0,6374,2025-07-27T16:59:54Z,ESTIMATED,781EEA,B752,B-223C,CSS,CSS,TNA,ZSJN,EHU,ZHEC,2025-07-27T17:14:57Z
3b72d07d,JL59,JAL59,30.89667,115.96716,234,34075,524,-64,6324,2025-07-27T16:59:59Z,ADSB,86E780,B789,JA871J,JAL,JAL,HND,RJTT,DOH,OTHH,2025-07-28T00:12:48Z
3b736379,QR891,QTR891,30.51137,115.30841,250,31675,521,384,3643,2025-07-27T17:59:51Z,ADSB,06A0FF,A359,A7-ALK,QTR,QTR,HGH,ZSHC,DOH,OTHH,2025-07-28T01:14:40Z
3b737213,O37335,CSS7335,30.8582,116.00999,239,18450,420,0,0,2025-07-27T17:59:58Z,ESTIMATED,781F23,B763,B-223L,CSS,CSS,WUX,ZSWX,EHU,ZHEC,2025-07-27T18:20:48Z
3b736ff2,VN416,HVN416,31.14684,115.33519,68,39100,491,64,7012,2025-07-27T18:59:58Z,ADSB,88818C,B78X,VN-A877,HVN,HVN,HAN,VVNB,ICN,RKSI,2025-07-27T20:54:24Z
3b73c338,VJ7239,VJC7239,30.62393,115.14889,248,30100,490,0,5011,2025-07-27T19:59:58Z,ADSB,88811B,A320,VN-A671,VJC,VJC,PVG,ZSPD,HAN,VVNB,2025-07-27T21:52:00Z
3b74472d,CZ8596,CSN8596,29.47791,116.74403,202,20975,447,0,0,2025-07-27T22:59:55Z,ESTIMATED,780486,A321,B-6353,CSN,CSN,HFE,ZSOF,SZX,ZGSZ,2025-07-28T00:19:12Z
3b741046,K4601,CKS601,31.16612,115.39435,69,35100,496,0,7025,2025-07-27T22:59:58Z,ADSB,AA5BC5,B744,N767CK,CKS,CKS,HAN,VVNB,ICN,RKSI,2025-07-28T00:31:26Z
3b7461ed,JD5689,CBJ5689,29.42785,116.29125,287,25625,425,0,3667,2025-07-27T23:59:59Z,ESTIMATED,7806F5,A320,B-6746,CBJ,CBJ,HGH,ZSHC,YIH,ZHYC,2025-07-28T00:46:56Z
3b7456c4,GJ6071,CDC6071,30.54081,114.95575,291,15150,363,0,0145,2025-07-27T23:59:54Z,ESTIMATED,780E17,A320,B-1675,CDC,CDC,WNZ,ZSWZ,WUH,ZHHH,2025-07-28T00:14:56Z
3b745d1a,MU2823,CES2823,30.58875,115.34451,251,25600,439,0,1054,2025-07-27T23:59:59Z,ESTIMATED,781617,A20N,B-306D,CES,CES,NKG,ZSNJ,ZYI,ZUZY,2025-07-28T01:14:40Z
3b742a50,MU2004,CES2004,30.98459,116.13007,237,34075,472,0,5012,2025-07-27T23:59:56Z,ADSB,780DB7,B738,B-1790,CES,CES,ICN,RKSI,KMG,ZPPP,2025-07-28T01:53:04Z
3b7453ce,ZH9859,CSZ9859,29.36749,116.87419,35,24600,433,0,4213,2025-07-27T23:59:56Z,ESTIMATED,7812E8,B738,B-1377,CSZ,CSZ,CAN,ZGGG,NKG,ZSNJ,2025-07-28T00:40:32Z
3b748926,O37289,CSS7289,29.84108,116.176,298,19700,387,0,0,2025-07-28T00:59:56Z,ESTIMATED,780B92,B734,B-2506,CSS,CSS,YIW,ZSYW,EHU,ZHEC,2025-07-28T01:21:38Z
3b748873,MU2504,CES2504,30.30509,114.96656,307,17925,406,0,0,2025-07-28T00:59:56Z,ESTIMATED,7811B6,B738,B-1449,CES,CES,PVG,ZSPD,WUH,ZHHH,2025-07-28T01:16:21Z
3b746124,GT1135,CGH1135,29.72723,116.19271,18,31100,429,0,0,2025-07-28T01:00:01Z,ESTIMATED,7812D2,A320,B-1032,CGH,CGH,HAK,ZJHK,LYI,ZSLY,2025-07-28T02:01:36Z
3b7481ec,ZH8673,CSZ8673,30.45277,115.29358,232,34100,468,0,5676,2025-07-28T00:59:58Z,ADSB,7811AA,B738,B-1477,CSZ,CSZ,NTG,ZSNT,TFU,ZUTF,2025-07-28T02:35:44Z
3b7463f7,HO1703,DKH1703,30.38945,115.19957,232,30100,464,0,1051,2025-07-28T00:59:58Z,ADSB,78095F,A320,B-6948,DKH,DKH,NKG,ZSNJ,KWE,ZUGY,2025-07-28T02:20:48Z
3b748eed,MU5287,CES5287,30.31763,115.43616,196,24025,428,0,0,2025-07-28T00:59:56Z,ESTIMATED,78078C,A320,B-6799,CES,CES,HFE,ZSOF,CAN,ZGGG,2025-07-28T02:13:07Z
3b7489f4,I98845,HLF8845,30.72767,116.67909,18,31100,484,0,0,2025-07-28T00:59:56Z,ESTIMATED,781E8C,B738,B-222P,HLF,HLF,SZX,ZGSZ,WEF,ZSWF,2025-07-28T01:58:06Z
3b748617,MU2893,CES2893,29.86246,116.78278,212,19700,442,0,7742,2025-07-28T01:00:01Z,ESTIMATED,780456,A321,B-8562,CES,CES,NKG,ZSNJ,SYX,ZJSY,2025-07-28T03:05:36Z
3b74a150,MU2847,CES2847,29.99723,115.11732,223,21700,435,0,0,2025-07-28T01:59:55Z,ESTIMATED,79A078,A321,B-2292,CES,CES,NKG,ZSNJ,CSX,ZGHA,2025-07-28T02:31:40Z
3b749b52,O37547,CSS7547,29.98111,115.3356,325,23600,426,0,0,2025-07-28T01:59:24Z,ESTIMATED,7BD003,B752,B-2829,CSS,CSS,URC,ZWWW,EHU,ZHEC,2025-07-28T02:14:24Z
3b74733d,HU7369,CHH7369,29.88873,116.2085,221,23600,418,0,4515,2025-07-28T02:00:00Z,ESTIMATED,78140D,B738,B-1131,CHH,CHH,HAK,ZJHK,JIU,ZSJJ,2025-07-28T02:11:07Z
3b74b3ef,MF8379,CXA8379,30.21718,116.45834,199,31100,451,0,0,2025-07-28T01:59:55Z,ESTIMATED,78143A,B38M,B-1116,CXA,CXA,TSN,ZBTJ,SZX,ZGSZ,2025-07-28T03:12:21Z
3b74a494,9C6733,CQH6733,30.52153,115.36689,243,34100,478,64,6304,2025-07-28T01:59:57Z,ADSB,7817C2,A20N,B-30AR,CQH,CQH,PVG,ZSPD,LJG,ZPLJ,2025-07-28T04:03:12Z
3b74998d,GS7605,GCR7605,30.79514,115.20077,95,29100,474,0,0,2025-07-28T02:00:00Z,ESTIMATED,78087C,A320,B-6865,GCR,GCR,XIY,ZLXY,HGH,ZSHC,2025-07-28T02:44:16Z
3b747651,MU5801,CES5801,31.1245,115.2971,68,31875,452,-960,0,2025-07-28T01:59:41Z,ADSB,780E81,B738,B-6146,CES,CES,KMG,ZPPP,SHA,ZSSS,2025-07-28T02:50:40Z
3b74a124,3U8083,CSC8083,30.63448,116.34348,95,29100,447,0,0,2025-07-28T01:59:55Z,ESTIMATED,7808B8,A320,B-6905,CSC,CSC,CKG,ZUCK,HGH,ZSHC,2025-07-28T02:37:23Z
3b749f25,VN356,HVN356,30.01959,115.21754,70,31125,463,0,0,2025-07-28T02:59:56Z,ESTIMATED,88816C,A21N,VN-A621,HVN,HVN,HAN,VVNB,FUK,RJFF,2025-07-28T04:53:25Z
3b74b4ef,HU7043,CHH7043,29.43091,115.99578,7,33100,429,0,4506,2025-07-28T03:00:01Z,ESTIMATED,7811EF,B738,B-1489,CHH,CHH,HAK,ZJHK,TNA,ZSJN,2025-07-28T04:13:52Z
3b74c385,CA8346,CCA8346,29.59208,116.15677,79,35100,445,0,0,2025-07-28T02:59:58Z,ESTIMATED,780DFB,A333,B-5977,CCA,CCA,HET,ZBHH,HGH,ZSHC,2025-07-28T03:39:05Z
3b74cbb9,MU2623,CES2623,30.55064,114.88304,93,23425,433,0,0,2025-07-28T02:59:56Z,ESTIMATED,780AF7,B738,B-5779,CES,CES,WUH,ZHHH,HSN,ZSZS,2025-07-28T04:03:52Z
3b74d59e,MU6309,CES6309,30.1897,116.38517,203,24600,439,0,0,2025-07-28T02:59:58Z,ESTIMATED,780B81,B738,B-5858,CES,CES,PKX,ZBAD,CAN,ZGGG,2025-07-28T04:12:18Z
3b74db6a,CZ6197,CSN6197,30.45215,115.90183,92,22550,397,0,0,2025-07-28T03:00:01Z,ESTIMATED,781121,B738,B-1402,CSN,CSN,WUH,ZHHH,HGH,ZSHC,2025-07-28T03:50:24Z
3b74d802,MU5870,CES5870,30.68901,115.36107,247,21425,416,0,0,2025-07-28T03:00:01Z,ESTIMATED,780606,B737,B-5265,CES,CES,HFE,ZSOF,KMG,ZPPP,2025-07-28T04:54:24Z
3b74c38c,3U3323,CSC3323,30.71987,115.44154,264,34100,456,64,2142,2025-07-28T03:00:00Z,ADSB,782184,A20N,B-32JH,CSC,CSC,XUZ,ZSXZ,KMG,ZPPP,2025-07-28T04:48:00Z
3b74d004,MU6754,CES6754,30.89274,116.35907,227,21700,400,0,0,2025-07-28T02:59:58Z,ESTIMATED,78229A,AJ27,B-659A,CES,CES,HIA,ZSSH,KWL,ZGKL,2025-07-28T04:23:42Z
3b74cff2,3U8168,CSC8168,30.84866,115.70056,265,24600,400,0,0,2025-07-28T02:59:56Z,ESTIMATED,780735,A320,B-6772,CSC,CSC,YTY,ZSYA,CKG,ZUCK,2025-07-28T04:18:08Z
3b74abd7,ZH9563,CSZ9563,31.03475,115.32722,269,22700,430,0,0,2025-07-28T03:00:01Z,ESTIMATED,78183F,B38M,B-20DZ,CSZ,CSZ,NKG,ZSNJ,TFU,ZUTF,2025-07-28T03:50:17Z
3b74a8b2,CA4513,CCA4513,31.01296,115.10487,86,29100,470,0,0,2025-07-28T03:00:01Z,ESTIMATED,780352,A319,B-6237,CCA,CCA,TFU,ZUTF,PVG,ZSPD,2025-07-28T03:56:48Z
3b74be86,KN2820,CUA2820,31.05626,115.57097,333,32125,447,0,0,2025-07-28T02:59:58Z,ESTIMATED,781387,B738,B-1277,CUA,CUA,NKG,ZSNJ,DSN,ZBDS,2025-07-28T04:26:19Z
3b74bd7e,CZ8198,CSN8198,31.06626,115.60777,87,35100,443,0,0,2025-07-28T02:59:58Z,ESTIMATED,781120,A321,B-8966,CSN,CSN,TFU,ZUTF,PVG,ZSPD,2025-07-28T03:53:59Z
3b74d2a8,CA4546,CCA4546,31.07043,116.32394,239,25775,430,1280,5107,2025-07-28T02:59:59Z,ADSB,7814BC,B38M,B-1180,CCA,CCA,NKG,ZSNJ,CKG,ZUCK,2025-07-28T04:24:32Z
3b74e5e9,3U8912,CSC8912,29.73138,116.14108,278,21700,466,0,3610,2025-07-28T03:59:57Z,ESTIMATED,780B67,A321,B-9937,CSC,CSC,HGH,ZSHC,CTU,ZUUU,2025-07-28T05:43:28Z
3b74edaf,HU7792,CHH7792,30.33791,115.79058,227,19700,352,0,0,2025-07-28T03:59:57Z,ESTIMATED,78049E,B738,B-5405,CHH,CHH,NKG,ZSNJ,CSX,ZGHA,2025-07-28T04:37:20Z
3b74de84,CA4550,CCA4550,29.77127,116.13775,273,23500,451,0,0,2025-07-28T03:59:57Z,ESTIMATED,780425,B738,B-7180,CCA,CCA,NGB,ZSNB,CKG,ZUCK,2025-07-28T05:30:40Z
3b74f0a6,GX8838,CBG8838,30.96883,116.07233,232,25450,462,0,2142,2025-07-28T03:59:55Z,ADSB,7807D8,A320,B-6768,CBG,CBG,XUZ,ZSXZ,CSX,ZGHA,2025-07-28T04:45:52Z
3b74f189,TV9898,TBA9898,30.84802,115.88661,238,30125,445,0,0,2025-07-28T03:59:55Z,ADSB,780DB4,A319,B-6475,TBA,TBA,NKG,ZSNJ,DZH,ZUDA,2025-07-28T05:07:12Z
3b74ea51,9C6455,CQH6455,31.03642,116.25317,239,34100,472,-64,6333,2025-07-28T03:59:59Z,ADSB,780B71,A320,B-9965,CQH,CQH,PVG,ZSPD,JIQ,ZUQJ,2025-07-28T05:05:04Z
3b751241,MU2714,CES2714,30.72742,115.05404,71,29125,470,0,0,2025-07-28T04:59:54Z,ESTIMATED,780604,A320,B-6638,CES,CES,YBP,ZUYB,NKG,ZSNJ,2025-07-28T05:39:12Z
3b750604,ZH9376,CSZ9376,30.74715,115.66049,262,30100,468,0,7741,2025-07-28T04:59:53Z,ADSB,780E0F,B738,B-1516,CSZ,CSZ,NKG,ZSNJ,NNG,ZGNN,2025-07-28T06:41:04Z
3b751534,EU2713,UEA2713,30.31051,116.51502,210,16200,355,0,0,2025-07-28T04:59:54Z,ESTIMATED,7810ED,A320,B-8877,UEA,UEA,HFE,ZSOF,SYX,ZJSY,2025-07-28T07:10:56Z
3b7501ae,ZH8914,CSZ8914,29.59736,116.33027,199,24600,417,0,5037,2025-07-28T04:59:56Z,ESTIMATED,781564,B38M,B-207E,CSZ,CSZ,LYI,ZSLY,SZX,ZGSZ,2025-07-28T06:17:36Z
3b750a9f,JD5550,CBJ5550,30.91976,116.3167,260,26050,427,1408,7753,2025-07-28T04:59:54Z,ADSB,780969,A320,B-6869,CBJ,CBJ,NKG,ZSNJ,LJG,ZPLJ,2025-07-28T07:13:04Z
3b74d7ec,MU2904,CES2833,30.9721,116.12315,239,21700,520,0,0,2025-07-28T04:59:54Z,ADSB,780EF0,A320,B-8222,CES,CES,CKG,ZUCK,CZX,ZSCG,2025-07-28T05:11:52Z
